t,ytt,x,xt,xtt,xtt_ytt,f,
0,-1.5,0,0,0,0,0,
0.02,-0.7,0.00029885404814703094,0.029808588610932496,105.59956287534806,104.89956287534805,-5.426296541160504,
0.04,0.9,0.0010283365971273997,0.04302702553735987,106.36578082532351,107.26578082532352,-5.424837576062543,
0.06,1.7,0.001695985698394719,0.02367433453438475,107.94671888791638,109.64671888791638,-5.423502277860008,
0.08,0.9,0.0018144102946885893,-0.011802857653062944,108.75541825861077,109.65541825861078,-5.4232654286674205,
0.1,1.7,0.0013862755605844326,-0.030930211925590242,107.9795311831145,109.6795311831145,-5.424121698135629,
0.12,2.3,0.00042201321470174754,-0.06532585197586584,108.8305655854971,111.1305655854971,-5.426050222827394,
0.14,3,-0.0013377299786919866,-0.11036021209265215,109.51701501595058,112.51701501595058,-5.4295697092141815,
0.16,3.3,-0.004118037569557103,-0.16723307108141894,110.34821772280984,113.64821772280983,-5.435130324395912,
0.18,3,-0.008066447167127596,-0.22701300132056126,110.82663118853634,113.82663118853634,-5.443027143591053,
0.2,2.7,-0.013111999879264407,-0.27681551100306157,110.74459672937675,113.44459672937676,-5.4531182490153265,
0.22,2,-0.019047790884747617,-0.315933083405367,110.69367934287366,112.69367934287366,-5.464989831026293,
0.24,-0.2,-0.025574788314240298,-0.335882433509057,110.2588756009053,110.0588756009053,-5.478043825885279,
0.26,-2.6,-0.032008569536437624,-0.30668552413456185,108.30186412725047,105.70186412725047,-5.490911388329674,
0.28,-4,-0.037333366785467344,-0.22519575860687602,106.08135777885926,102.08135777885926,-5.501560982827733,
0.3,-5.6,-0.040717954675108164,-0.11295863507719539,104.77266355425625,99.17266355425626,-5.5083301586070155,
0.32,-6.1,-0.04152672319711595,0.03200597679422359,103.14994208455106,97.04994208455106,-5.509947695651031,
0.34,-6,-0.039348718663160046,0.18531503237822186,102.50616175968517,96.50616175968517,-5.505591686583119,
0.36,-6.1,-0.0341611511656172,0.3325737337400344,102.34584958114132,96.24584958114133,-5.495216551588033,
0.38,-5.8,-0.026068080298917856,0.4754883818388521,101.87247039673719,96.07247039673719,-5.4790304098546345,
0.4,-5.5,-0.015258380511363172,0.6038972760550448,101.69731154169936,96.19731154169936,-5.457411010279525,
0.42,-5.2,-0.0020416835442841202,0.7158919061795098,101.4333162786139,96.2333162786139,-5.430977616345367,
0.44,-4.8,0.013236887612868406,0.8098359870277589,101.094726381965,96.294726381965,-5.400420474031062,
0.46,-4.6,0.030182484039064296,0.8824018825449089,100.7983843515858,96.1983843515858,-5.3665292811786705,
0.48,-4.1,0.04839700522681073,0.93658454876291,100.25887749373547,96.15887749373547,-5.330100238803178,
0.5,-3.1,0.06744538086288376,0.965709073287836,99.99589807861548,96.89589807861549,-5.292003487531032,
0.52,-2.6,0.08672346900493923,0.9595698994439442,100.23714407834346,97.63714407834347,-5.253447311246921,
0.54,-4.1,0.10562830680824586,0.9284645599771728,100.00253743351661,95.90253743351661,-5.215637635640308,
0.56,-5.4,0.12406516470606413,0.9128140773819488,97.7805795510519,92.3805795510519,-5.178763919844671,
0.58,-5.6,0.142305001379164,0.9087737738094736,95.76202282039857,90.16202282039858,-5.142284246498471,
0.6,-3.9,0.16036092890072573,0.8944602865018114,94.85459943105711,90.9545994310571,-5.106172391455347,
0.62,-1.3,0.17765169261301753,0.832418119978265,95.89537678627256,94.59537678627257,-5.071590864030764,
0.64,0.4,0.19305551545844404,0.7060953962197862,97.93488078019021,98.33488078019022,-5.040783218339911,
0.66,1.6,0.20548914318567243,0.5358448031174672,99.2082037939447,100.8082037939447,-5.015915962885454,
0.68,2.4,0.2142026040923742,0.33460735662753976,100.14007487551308,102.54007487551308,-4.99848904107205,
0.7,2.5,0.2186890707401241,0.11372647094853743,100.8462264037573,103.3462264037573,-4.98951610777655,
0.72,3.4,0.21873089374133226,-0.10926930388099401,101.02864272440847,104.42864272440848,-4.989432461774134,
0.74,5.2,0.2141616158112829,-0.34675844395474564,102.19856188321289,107.39856188321289,-4.998571017634233,
0.76,6.3,0.20455017540135992,-0.6127859745603244,104.47829635779158,110.77829635779158,-5.017793898454078,
0.78,5.6,0.18950857088506287,-0.8890472193494864,106.27626313797771,111.8762631379777,-5.047877107486673,
0.8,3.7,0.1692347698183046,-1.135354580459016,106.46949641046126,110.16949641046126,-5.088424709620189,
0.82,1.5,0.14460426473396415,-1.3242163776105522,105.61306899612411,107.11306899612411,-5.13768571978887,
0.84,-1.2,0.1168526749875635,-1.447135130676642,104.5549971235118,103.3549971235118,-5.193188899281671,
0.86,-2.6,0.08741461360780768,-1.4927387600812636,103.03435736737826,100.43435736737827,-5.252065022041182,
0.88,-2.9,0.05758077521127614,-1.486725634151414,102.80988320326789,99.90988320326788,-5.311732698834246,
0.9,-2.4,0.02816086157279664,-1.4514375761856413,103.65803155533216,101.25803155533215,-5.3705725261112045,
0.92,-1.3,-0.0004260089310140915,-1.4035468188708407,105.26854157692067,103.96854157692067,-5.427746267118826,
0.94,0.3,-0.02805548445272637,-1.3558238881492366,107.44131842872866,107.74131842872866,-5.48300521816225,
0.96,1.5,-0.054838048536822545,-1.3189535085371473,110.08475187250916,111.58475187250916,-5.536570346330443,
0.98,1.5,-0.080916334326358,-1.2854844857971806,112.3016638049987,113.8016638049987,-5.588726917909514,
1,2.1,-0.1061243911986145,-1.2320702414685472,113.27670130548644,115.37670130548643,-5.639143031654027,
1.02,2.9,-0.13019224630859574,-1.171623235744863,114.80407415606587,117.70407415606587,-5.687278741873989,
1.04,1.3,-0.15302895735207367,-1.109120474082974,116.4820683853264,117.7820683853264,-5.732952163960944,
1.06,-0.8,-0.17412518865562784,-0.9978656556409519,115.67297213617097,114.87297213617097,-5.775144626568053,
1.08,-1.7,-0.1924261919841196,-0.830036740814579,114.23219677784648,112.53219677784648,-5.811746633225036,
1.1,-0.9,-0.20706877386333125,-0.6325423642938361,113.83580911419165,112.93580911419164,-5.84103179698346,
1.12,-0.5,-0.21783088725116206,-0.44249131634552197,114.98903276369691,114.48903276369691,-5.862556023759121,
1.14,0.2,-0.22481127639622506,-0.25486467733107665,115.59387390491716,115.79387390491716,-5.876516802049247,
1.16,0.7,-0.22814763615389796,-0.07855381115880161,116.35912047807916,117.05912047807917,-5.883189521564593,
1.18,0.3,-0.22805365299404107,0.08773068709307356,116.79272239267289,117.09272239267288,-5.8830015552448796,
1.2,-0.3,-0.2245762438475661,0.2593367389079688,116.19074582480394,115.89074582480394,-5.876046736951929,
1.22,-1,-0.2175964219232865,0.4375026971584508,115.24802651620604,114.24802651620604,-5.86208709310337,
1.24,-1.3,-0.20699145089237886,0.6213673090162273,114.06004371550166,112.76004371550167,-5.840877151041555,
1.26,-2.2,-0.19275629298168587,0.8000500615082008,113.1307003961331,110.93070039613309,-5.812406835220169,
1.28,-4.1,-0.17490293583406802,0.9827059764164142,111.45701844937045,107.35701844937046,-5.776700120924933,
1.3,-5.3,-0.15318164620511288,1.186307841303579,108.62274021173496,103.32274021173497,-5.733257541667022,
1.32,-4.4,-0.1273460664929296,1.3935887981160977,106.32464932706856,101.92464932706855,-5.6815863822426556,
1.34,-3.6,-0.09777384105089897,1.5595325356124121,105.99462534638256,102.39462534638257,-5.622441931358594,
1.36,-3.2,-0.06529590639305495,1.6838296056383784,105.46558898758639,102.26558898758638,-5.557486062042906,
1.38,-2.4,-0.03068304194845812,1.7727889251583255,104.46559099719893,102.06559099719892,-5.488260333153712,
1.4,-0.2,0.00526601988527336,1.817329309719656,103.82958759225089,103.62958759225089,-5.416362209486249,
1.42,3.3,0.041379128265723916,1.7892632743920884,104.6144798646641,107.9144798646641,-5.344135992725348,
1.44,3.5,0.07595312277191385,1.663743043631982,106.79687328347792,110.29687328347792,-5.274988003712968,
1.46,2.3,0.1077209402323986,1.5090516216674394,105.80104741157196,108.10104741157195,-5.211452368791998,
1.48,0.6,0.13640388178438517,1.355659878594553,103.52651759164036,104.12651759164035,-5.154086485688025,
1.5,-0.2,0.16215165733612602,1.215904230704684,100.86272279403046,100.66272279403046,-5.102590934584543,
1.52,0,0.18507902290960973,1.073992839624008,99.21108601539429,99.21108601539429,-5.056736203437576,
1.54,0.7,0.20496608669845592,0.9122991171581547,98.68693330348935,99.38693330348936,-5.016962075859883,
1.56,1.5,0.22134402199905445,0.723575878891221,98.8115053188633,100.3115053188633,-4.984206205258686,
1.58,1.7,0.2336833651954238,0.5090040030093327,99.20525926666605,100.90525926666605,-4.959527518865947,
1.6,1.7,0.24162174927714666,0.28407228776714954,99.1766616836837,100.87666168368371,-4.943650750702501,
1.62,2.6,0.2450277625039558,0.0563669972945531,99.12804054327763,101.72804054327763,-4.936838724248883,
1.64,3.7,0.2437026243400725,-0.1883986434635282,100.17262937375772,103.87262937375772,-4.93948900057665,
1.66,4.6,0.2373046705849884,-0.45022538004784657,101.62391681817431,106.2239168181743,-4.952284908086818,
1.68,7.2,0.2255746040030788,-0.7208969435643557,103.08904206067935,110.28904206067935,-4.975745041250637,
1.7,8.8,0.20803989532576067,-1.0298773632782334,106.4977674864144,115.2977674864144,-5.010814458605274,
1.72,8.4,0.1841841485096198,-1.3521520091504127,109.16104930067506,117.56104930067507,-5.058525952237555,
1.74,7.7,0.15419136581249887,-1.64281288587846,110.05469347011051,117.75469347011051,-5.118511517631797,
1.76,6.6,0.11879783026850652,-1.891569083459365,110.84575312395353,117.44575312395352,-5.189298588719781,
1.78,4.2,0.07895846226542588,-2.0868781291860383,111.39217810666095,115.59217810666095,-5.268977324725943,
1.8,4.2,0.03602936021837624,-2.2002388219643216,110.72968709901102,114.92968709901102,-5.3548355288200415,
1.82,5.5,-0.008814830147713695,-2.278179413067688,112.52944768402403,118.02944768402403,-5.444523909552221,
1.84,7.4,-0.05511417034323042,-2.345575522182432,115.6826801056219,123.0826801056219,-5.537122589943254,
1.86,6.5,-0.10276721238876839,-2.4133709093021003,119.48950505842835,125.98950505842835,-5.632428674034331,
1.88,4.3,-0.15121338243023513,-2.4248547233455686,120.5064124865572,124.80641248655719,-5.729321014117264,
1.9,2,-0.1990683895819477,-2.354435411266112,120.16910498813206,122.16910498813206,-5.82503102842069,
1.92,1.9,-0.24468934898446762,-2.201847325062793,119.61262392165918,121.51262392165918,-5.91627294722573,
1.94,2.4,-0.2868992617399686,-2.0138242923459826,121.1081214710697,123.5081214710697,-6.000692772736732,
1.96,2.8,-0.32514032197246306,-1.80551000198651,123.03928537925376,125.83928537925375,-6.077174893201721,
1.98,4.8,-0.35902058734633163,-1.5783425187071254,124.6911845206372,129.4911845206372,-6.144935423949458,
2,5.8,-0.38851847739856304,-1.36782838037791,127.77635258211238,133.57635258211238,-6.203931204053921,
2.02,7.3,-0.4138001675779038,-1.157277552765657,129.69505791276833,136.99505791276835,-6.254494584412603,
2.04,8.5,-0.434997709414814,-0.9599345333624499,131.95750675599237,140.45750675599237,-6.296889668086424,
2.06,6.1,-0.4523459268110888,-0.7728389083576276,133.77185353812962,139.8718535381296,-6.3315861028789735,
